atmosphere	n:atmosphere,adj:atmospheric	大气；大气层；气氛；大气的
hydrosphere	n:hydrosphere	水圈
lithosphere	n:lithosphere	岩石圈；陆界
oxygen	n:oxygen	氧；氧气
oxide	n:oxide,v:oxidize	氧化物；氧化
carbon dioxide	n:carbon dioxide	二氧化碳
hydrogen	n:hydrogen	氢；氢气
core	n:core	地核；核心；果核
crust	n:crust	地壳；面包皮
mantle	n:mantle	地幔；斗篷；覆盖物
longitude	n:longitude,adj:longitudinal	经度；经线；经度的；纵向的
latitude	n:latitude	纬度；(行动的)自由
horizon	n:horizon,adj:horizontal	地平线；眼界；水平的
altitude	n:altitude	海拔；高度
disaster	n:disaster,adj:disastrous	灾难；灾祸；灾难性的
mishap	n:mishap	小事故；倒霉事
catastrophic	adj:catastrophic,n:catastrophe	灾难性的；惨重的；大灾难
calamity	n:calamity	灾难；祸患
endanger	v:endanger,adj:endangered	危及；危害；濒危的
jeopardize	v:jeopardize,n:jeopardy	危及；损害；危险
destructive	adj:destructive,n:destruction,v:destroy	破坏性的；毁灭性的；破坏；毁灭；摧毁
El Nino	n:El Nino	厄尔尼诺(现象)
greenhouse	n:greenhouse	温室；暖房
phenomenon	n:phenomenon,adj:phenomenal	现象；非凡的事物；非凡的；现象级的
pebble	n:pebble	卵石；小圆石
magnet	n:magnet,adj:magnetic	磁铁；磁石；有吸引力的事物；磁性的
ore	n:ore	矿石；矿砂
mineral	n:mineral	矿物；矿物质；矿物的
marble	n:marble	大理石；弹珠
quartz	n:quartz	石英
granite	n:granite	花岗岩；花岗石
gust	n:gust,adj:gusty	一阵(风、雨)；猛刮；阵风的
breeze	n:breeze,adj:breezy	微风；轻风；有微风的；轻松的
monsoon	n:monsoon	季风；雨季
gale	n:gale	大风；狂风
hurricane	n:hurricane	飓风
tornado	n:tornado	龙卷风
typhoon	n:typhoon	台风
volcano	n:volcano,adj:volcanic	火山；火山的
erupt	v:erupt,n:eruption	喷发；爆发；喷发(物)；爆发(物)
magma	n:magma	岩浆
thermodynamic	adj:thermodynamic,n:thermodynamics	热力学的；热力学
smog	n:smog,adj:smoggy	烟雾(烟与雾的混合)；雾霾的
fume	n:fume	(难闻的)烟气；烟雾；冒烟
mist	n:mist,adj:misty	薄雾；雾霭；有雾的；朦胧的
tsunami	n:tsunami	海啸
drought	n:drought	干旱；旱灾
flooding	n:flooding,v:flood	洪水泛滥；洪涝；淹没；泛滥
torrent	n:torrent,adj:torrential	激流；奔流；迸发；倾泻的
earthquake	n:earthquake	地震
seismic	adj:seismic	地震的；地震引起的
avalanche	n:avalanche	雪崩
terrain	n:terrain	地形；地势；地带
landscape	n:landscape	风景；地貌；景观
continent	n:continent,adj:continental	大陆；洲；大陆的；大陆性的
cave	n:cave	洞穴；山洞
cliff	n:cliff	悬崖；峭壁
glacier	n:glacier,adj:glacial	冰川；冰河；冰川的；冰冷的
swamp	n:swamp,adj:swampy	沼泽；湿地；沼泽的
delta	n:delta	三角洲
plain	n:plain	平原；朴素的；清楚的
plateau	n:plateau	高原；停滞期
oasis	n:oasis	绿洲；宜人之地
globe	n:globe,adj:global	地球；地球仪；球体；全球的
hemisphere	n:hemisphere	半球
equator	n:equator,adj:equatorial	赤道；赤道的
Arctic	n:Arctic	北极；北极的
Antarctic	n:Antarctic	南极；南极的
pole	n:pole	极点；地极；杆
polar	adj:polar	极地的；两极的
axis	n:axis	轴；轴线；轴心
deteriorate	v:deteriorate,n:deterioration	恶化；退化；(使)恶化
aggravate	v:aggravate,n:aggravation	加重；使恶化；激怒
degrade	v:degrade,n:degradation	降解；退化；降低身份
upgrade	v:upgrade	升级；提升；改善
erode	v:erode,n:erosion	侵蚀；腐蚀；侵蚀(作用)
Mediterranean	n:Mediterranean	地中海；地中海的
Atlantic	n:Atlantic	大西洋；大西洋的
Pacific	n:Pacific	太平洋；太平洋的
ocean	n:ocean	海洋；大海
marine	adj:marine	海洋的；海产的；海运的
navigation	n:navigation,v:navigate	航行；导航；领航
gulf	n:gulf	海湾；鸿沟
beach	n:beach	海滩；沙滩
coast	n:coast,adj:coastal	海岸；沿海地区；沿海的
shore	n:shore	岸；滨
tide	n:tide,adj:tidal	潮汐；潮流；趋势；潮汐的
current	n:current	洋流；水流；电流；当前的
brook	n:brook	小溪；小河
stream	n:stream	小溪；溪流；流
source	n:source	源头；来源
shallow	adj:shallow	浅的；肤浅的
superficial	adj:superficial	肤浅的；表面的
flat	adj:flat,v:flatten	平的；平坦的；公寓；使变平
smooth	adj:smooth	光滑的；平稳的；顺利的
rough	adj:rough	粗糙的；粗略的；恶劣的
sandy	adj:sandy	沙质的；多沙的
stony	adj:stony	多石的；石质的；冷酷的
vertical	adj:vertical	垂直的；纵向的
steep	adj:steep	陡峭的；(升降)急剧的
parallel	adj:parallel	平行的；纬线；相似之处
narrow	adj:narrow	狭窄的；勉强的
Oceania	n:Oceania	大洋洲
mainland	n:mainland	大陆；本土
peninsula	n:peninsula	半岛
climate	n:climate,adj:climatic	气候；风气；气候的
weather	n:weather	天气；气象
meteorology	n:meteorology,adj:meteorological	气象学；气象的
mild	adj:mild	温和的；轻微的
heating	n:heating,v:heat	供暖；加热；(使)变热
moderate	adj:moderate,n:moderation	适度的；温和的；缓和；适度；节制
warm	adj:warm,n:warmth	温暖的；暖和的；温暖
thermal	adj:thermal	热的；热量的；保暖的
tropics	n:tropics,adj:tropical	热带地区；热带的
arid	adj:arid	干旱的；枯燥的
moist	adj:moist,n:moisture,v:moisten	湿润的；潮湿的；水分；湿气；使湿润
damp	adj:damp,v:dampen	潮湿的；使潮湿；抑制
humid	adj:humid,n:humidity	湿热的；潮湿的；湿度
snowy	adj:snowy	下雪的；多雪的
frost	n:frost,adj:frosty	霜；霜冻；霜冻的；冷淡的
hail	n:hail	冰雹；下冰雹；招呼(车等)
thaw	v:thaw	解冻；融化；(关系)缓和
chill	n:chill,adj:chilly	寒冷；寒意；使冷却；冷飕飕的
freeze	v:freeze,adj:freezing	结冰；冻结；极冷的
frigid	adj:frigid	严寒的；寒冷的；冷淡的
tremble	v:tremble	颤抖；颤动
shiver	v:shiver	颤抖；发抖
thunder	n:thunder,adj:thunderous	雷；雷声；雷鸣般的
lightning	n:lightning	闪电
stormy	adj:stormy	暴风雨的；激烈的
downpour	n:downpour	倾盆大雨；暴雨
rainfall	n:rainfall	降雨(量)
sprinkle	v:sprinkle	洒；撒；下小雨
rainbow	n:rainbow	彩虹
shower	n:shower,adj:showery	阵雨；淋浴；下阵雨；多阵雨的
Celsius	adj:Celsius	摄氏的；摄氏度
temperature	n:temperature	温度；气温
forecast	n:forecast	预报；预测
peak	n:peak	山峰；顶峰；峰值
mount	v:mount	登上；增加；山峰(用于山名)
mountain	n:mountain,adj:mountainous	山；山脉；多山的
range	n:range	山脉；范围；(在范围内)变化
ridge	n:ridge	山脊；屋脊；棱纹
slope	n:slope	斜坡；斜率；倾斜
valley	n:valley	山谷；流域
hillside	n:hillside	山坡；山腰
overlook	v:overlook	俯瞰；忽略
southern	adj:southern	南方的；南部的
southeast	n:southeast	东南；东南的
southwest	n:southwest	西南；西南的
northeast	n:northeast	东北；东北的
northwest	n:northwest	西北；西北的
eastern	adj:eastern	东方的；东部的
oriental	adj:oriental,n:orient	东方的；东方国家的；东方
inevitable	adj:inevitable,n:inevitability	不可避免的；必然的；必然性
irreversible	adj:irreversible,v:reverse	不可逆的；不可挽回的；逆转；反转
irregularly	adv:irregularly,adj:irregular,n:irregularity	不规则地；不整齐地；不规则的；不规则；不合常规
inappropriate	adj:inappropriate,adj:appropriate	不恰当的；不合适的；适当的；恰当的
abnormal	adj:abnormal,n:abnormality,adj:normal	反常的；异常的；异常；畸形；正常的
sediment	n:sediment,adj:sedimentary	沉积物；泥沙；沉积的
silt	n:silt,adj:silty	淤泥；泥沙；淤积；淤泥的
muddy	adj:muddy	泥泞的；浑浊的；使浑浊
clay	n:clay	黏土；陶土
dirt	n:dirt,adj:dirty	泥土；污垢；尘土；脏的
rural	adj:rural	乡村的；农村的
suburb	n:suburb,adj:suburban	郊区；城郊；郊区的
outskirts	n:outskirts	市郊；外围地区
remote	adj:remote	偏远的；遥远的
desolate	adj:desolate,n:desolation	荒凉的；无人烟的；荒凉；荒废
distant	adj:distant,n:distance	遥远的；远处的；疏远的；距离；远方
adjacent	adj:adjacent	邻近的；毗邻的
toxic	adj:toxic,n:toxicity	有毒的；中毒的；毒性
pollution	n:pollution,v:pollute	污染；污染物；污染(动词)
pollutant	n:pollutant	污染物
contaminate	v:contaminate,n:contamination	污染；弄脏；污染(名词)
geology	n:geology,adj:geological	地质学；地质情况；地质的
border	n:border	边界；边境；接壤
margin	n:margin,adj:marginal	边缘；页边空白；利润；边缘的；微小的
fringe	n:fringe	边缘；刘海；穗
plate	n:plate	板块；盘子；金属板
debris	n:debris	残骸；碎片；瓦砾
crack	n:crack	裂缝；裂纹；破裂
gap	n:gap	缺口；间隙；差距
splendid	adj:splendid,n:splendour	壮丽的；极好的；壮丽；辉煌
grand	adj:grand,n:grandeur	宏伟的；壮丽的；盛大的；宏伟；壮观
magnificent	adj:magnificent,n:magnificence	壮丽的；宏伟的；华丽的；壮丽；宏伟
super	adj:super	超级的；极好的
interesting	adj:interesting,v:interest,n:interest	有趣的；引人入胜的；使感兴趣；兴趣；利益
dramatic	adj:dramatic,n:drama	戏剧性的；巨大的；引人注目的；戏剧
wilderness	n:wilderness	荒野；旷野
desert	n:desert,adj:deserted	沙漠；荒漠；抛弃；被遗弃的
deforest	v:deforest,n:deforestation	砍伐森林；毁林；森林砍伐
barren	adj:barren	贫瘠的；荒芜的
fertile	adj:fertile,n:fertility	肥沃的；能生育的；肥沃；肥力
fertilize	v:fertilize,n:fertilizer	施肥；使受精；肥料
solar	adj:solar	太阳的；太阳能的
lunar	adj:lunar	月球的；农历的
calendar	n:calendar	日历；历法
sunrise	n:sunrise	日出；黎明
sunset	n:sunset	日落；黄昏
eclipse	n:eclipse	日食；月食；使黯然失色
dusk	n:dusk	黄昏；薄暮
heaven	n:heaven,adj:heavenly	天堂；天空；上天；天堂般的；天空的
paradise	n:paradise	天堂；乐园
sunshine	n:sunshine	阳光；日照
shade	n:shade,adj:shady	阴凉处；阴影；色度；遮蔽；阴凉的；可疑的
shadow	n:shadow,adj:shadowy	阴影；影子；跟踪；阴暗的；朦胧的
vapor	n:vapor,v:vaporize	蒸气；水汽；蒸发；汽化
evaporate	v:evaporate,n:evaporation	蒸发；挥发；消失；蒸发(作用)
circulate	v:circulate,n:circulation	循环；流通；传播；循环；流通(量)
precipitate	v:precipitate,n:precipitation	沉淀；降水；使突然发生；降水；沉淀(物)
reservoir	n:reservoir	水库；蓄水池；储备
waterfall	n:waterfall	瀑布
fountain	n:fountain	喷泉；源泉
spring	n:spring	春天；泉水；弹簧；跳跃；涌现
dew	n:dew,adj:dewy	露水；露珠；带露水的
pour	v:pour	倾倒；倾泻；下大雨
drain	v:drain,n:drainage	排干；流走；下水道；排水；排水系统
drip	v:drip	滴下；漏水；水滴
drown	v:drown	淹死；淹没；沉溺
blow	v:blow	吹；刮；打击
puff	n:puff,adj:puffy	吹气；喷；一阵(气息)；鼓胀的
gush	v:gush	喷涌；涌出；喷涌(物)
dense	adj:dense,n:density	密集的；浓厚的；密度；浓度
intensity	n:intensity,adj:intense,v:intensify	强度；烈度；强烈；强烈的；加强
intensive	adj:intensive	密集的；强化的
emerge	v:emerge,n:emergence	出现；浮现；显露；出现；浮现
flash	n:flash,adj:flashy	闪光；闪现；闪光；花哨的；炫耀的
float	v:float	漂浮；浮动
environment	n:environment,adj:environmental	环境；周围状况；环境的
surrounding	adj:surrounding,v:surround	周围的；周围环境；围绕；包围
condition	n:condition,adj:conditional	条件；状况；制约；使适应；有条件的
situation	n:situation	情况；局势；位置
nature	n:nature	自然；天性；本质
natural	adj:natural	自然的；天生的
artificial	adj:artificial	人工的；人造的
synthetic	adj:synthetic,v:synthesize	合成的；人造的；(使)合成
petrol	n:petrol	汽油(英)
gas	n:gas,adj:gaseous	气体；煤气；汽油(美)；气体的；气态的
gasoline	n:gasoline	汽油(美)
petroleum	n:petroleum	石油
